Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c, d, e, f, g",1,222677.00,1.00,222678.00,true
"a, b, c, d, e, f, g",2,214393.00,1.00,214394.00,true
"a, b, c, d, e, f, g",3,228220.00,1.00,228221.00,true
"a, b, c, d, e, f, g",4,218731.00,2.00,218733.00,true
"a, b, c, d, e, f, g",5,212384.00,1.00,212385.00,true
"a, b, c, d, e, f, g",6,225092.00,1.00,225093.00,true
"a, b, c, d, e, f, g",7,220087.00,1.00,220088.00,true
"a, b, c, d, e, f, g",8,220244.00,1.00,220245.00,true
"a, b, c, d, e, f, g",9,221385.00,1.00,221386.00,true
"a, b, c, d, e, f, g",10,224252.00,1.00,224253.00,true
