Party Setup,Iteration,Extract Time (µs),Lookup Time (µs),Combined Time (µs),Result
"a, b, c, d",1,211221.00,12.00,211233.00,true
"a, b, c, d",2,212547.00,1.00,212548.00,true
"a, b, c, d",3,213693.00,1.00,213694.00,true
"a, b, c, d",4,213606.00,1.00,213607.00,true
"a, b, c, d",5,212592.00,1.00,212593.00,true
"a, b, c, d",6,212655.00,1.00,212656.00,true
"a, b, c, d",7,219731.00,1.00,219732.00,true
"a, b, c, d",8,230128.00,1.00,230129.00,true
"a, b, c, d",9,216456.00,1.00,216457.00,true
"a, b, c, d",10,216253.00,1.00,216254.00,true
